location,BHK,total_sqft,bath,price
Dhole Patil Road,3,1476,2,98.94
Erandwane,3,1850,3,140
Fergusson College Road,2,755,1,34
Ganeshkhind,2,1194,2,46
Gokhale Nagar,1,800,1,52
Gultekdi,3,2250,3,195
Guruwar peth,2,1352,2,68
Hadapsar,3,2002,3,112
Hingne Khurd,2,1060,2,45
Jangali Maharaj Road,3,1419.59,2,59
Kalyani Nagar,2,1196,2,51.15
Karve Nagar,3,1220,2,35.24
Karve Road,3,1595,3,75
Kasba Peth,2,1260,2,75
Katraj,2,1100,2,47
Khadaki,2,1550,2,140
Khadki,2,1180,2,52
Kondhwa,3,1662,3,85
Kondhwa Budruk,2,1285,2,60
Kondhwa Khurd,4,1080,4,75
Koregaon Park,3,1862,3,119
Kothrud,2,1419,2,48
Law College Road,3,1410,3,43.71
Laxmi Road,3,1560,2,62.4
Mahatma Gandhi Road,3,1634,3,78
Manik Bagh,3,1150,2,44
Market yard,2,1100,2,53
Model colony,3,1616,3,65
Mukund Nagar,2,1392,2,99
Mundhawa,3,1798,3,120
Nagar Road,3,1675,3,75
Nana Peth,2,792,2,70
Narayan Peth,5,2000,4,103
Navi Peth,3,1700,3,124
Padmavati,2,1248,2,69
Parvati Darshan,2,1147,2,54
Pashan,2,1100,2,40
Paud Road,3,1527,3,115
Pirangut,5,2400,5,235
Prabhat Road,1,525,1,25
Pune Railway Station,2,1100,2,58
Rasta Peth,2,1118,2,37.5
Raviwar Peth,3,1476,3,75
Sadashiv Peth,3,2100,3,75
Sahakar Nagar,3,1215,2,46.5
Salunke Vihar,2,1332,2,79
Sasson Road,2,1350,2,49
Senapati Bapat Road,2,1243,2,46
Shaniwar Peth,2,1105,2,49.73
Shukrawar Peth,2,1200,2,50
Sinhagad Road,2,1251,2,47.4
Somwar Peth,2,883,2,45
Swargate,3,1400,2,67
Uruli Devachi,3,1703,3,113
Vadgaon Budruk,5,2500,5,130
Wadgaon Sheri,3,1250,3,71
Viman Nagar,2,933,2,43
Vishrant Wadi,1,461.82,1,31.7
Wagholi,2,1262,2,75
Wakadewadi,2,915,2,48
Wanowrie,3,1370,2,61.5
Warje,2,1210,2,55
Yerawada,3,2392,4,260
Alandi Road,3,1500,2,85
Ambegaon Budruk,2,1065,2,50
Aundh,3,1515,3,65
Aundh Road,4,1800,4,110
Balaji Nagar,3,1445,2,40.31
Baner,3,1300,2,55
Baner road,2,989,2,60
Bhandarkar Road,2,1300,2,85
Bhavani Peth,3,1185,2,30.22
Bibvewadi,5,1350,3,110
Bopodi,2,1045,2,60
Budhwar Peth,2,1205,2,42.18
Bund Garden Road,2,1260,2,75
Chandan Nagar,3,1500,2,125
Dapodi,3,1250,2,42.5
Deccan Gymkhana,2,1199,2,50
Dehu Road,2,1385,2,83.09
Dhayari Phata,2,1149,2,75
Dhole Patil Road,3,2180,3,170
Erandwane,8,1200,7,110
Ganesh Peth,3,1818,3,135
Ganeshkhind,2,1070,2,33
Ghorpadi,3,1350,2,54.6
Gokhale Nagar,2,630,1,27
Gultekdi,2,1430,2,113
Guruwar peth,3,2430,4,180
Hadapsar Industrial Estate,2,1084,2,55
Hingne Khurd,3,1186,2,56
Jangali Maharaj Road,2,1255,2,50
Karve Nagar,3,1541,3,69.84
Kasba Peth,2,1295,2,70
Katraj,3,1000,4,110
Khadki,3,1370,2,54.79
Kharadi,2,1100,2,40
Kondhwa Khurd,3,1370,2,54.79
Koregaon Park,2,1200,2,62
Kothrud,4,2000,3,95
Lulla Nagar,4,2400,5,253
Mahatma Gandhi Road,3,1220,3,62
Mangalwar peth,3,1950,3,130
Manik Bagh,2,1178,2,73
Market yard,3,1286,3,61.44
Model colony,2,1160,2,42
Mukund Nagar,2,918,2,55
Mundhawa,3,1563,3,91.84
Nagar Road,2,1326,2,62.17
Nana Peth,3,1350,2,140
Narayangaon,2,1240,2,39.06
Navi Peth,2,1325,2,50
Padmavati,2,1100,2,44
Pashan,3,1605,3,50
Pirangut,2,1260,2,60
Prabhat Road,3,1553,3,83.09
Pune Railway Station,2,1280,2,52
Rasta Peth,3,1550,2,75
Raviwar Peth,3,1445,2,125
Sadashiv Peth,3,1550,3,74
Sahakar Nagar,3,1515,2,80.91
Salunke Vihar,3,1332,2,86.12
Sasson Road,3,1652,3,70
Satara Road,3,1570,3,105
Shaniwar Peth,1,794,1,60
Shivaji Nagar,3,1200,2,62
Uruli Devachi,3,1750,3,110
Vadgaon Budruk,2,1053,2,48
Wadgaon Sheri,3,1100,3,53
Viman Nagar,3,1665,3,70
Wakadewadi,3,1447,3,80
Wanowrie,2,1012,2,75
Warje,3,1900,3,60
Yerawada,2,1308,2,92.66
Ambegaon Budruk,1,1351,2,53
Anandnagar,2,1000,2,22
Aundh Road,2,1140,2,49.11
Baner,3,1250,2,55
Baner road,3,1290,3,45.15
Bhandarkar Road,2,1424,2,90
Bhavani Peth,3,1320,2,60.6
Bibvewadi,3,1662,3,85.5
Budhwar Peth,2,1200,2,45
Bund Garden Road,3,1975,3,210
Camp,3,1295,2,59.5
Chandan Nagar,3,1777,3,100
Dapodi,3,1900,3,108
Deccan Gymkhana,3,1576,3,59.1
Dehu Road,2,1020,2,41
Dhankawadi,3,2100,3,170
Dhayari Phata,1,648,1,31.75
Dhole Patil Road,3,1167,2,38
Fatima Nagar,2,1220,2,50.89
Ganesh Peth,2,1259,2,67.4
Ganeshkhind,4,2000,4,82
Ghorpade Peth,3,1800,3,80
Ghorpadi,3,1991,3,160
Gokhale Nagar,3,1665,3,110
Gultekdi,2,1234,2,61
Guruwar peth,3,1340,2,64.31
Hadapsar,2,1170,2,46.79
Hadapsar Industrial Estate,2,995,2,46
Hingne Khurd,2,1075,2,60
Jangali Maharaj Road,2,1025,2,54.5
Karve Nagar,3,2000,3,99
Karve Road,4,2500,4,155
Kasba Peth,2,1325,2,70
Katraj,2,1314,2,68.2
Khadaki,3,2265,3,136
Kharadi,2,1026,2,41
Kondhwa,3,1200,3,66
Kondhwa Budruk,3,2220,4,65
Kondhwa Khurd,2,1192.5,2,51.22
Koregaon Park,2,1420,2,99.39
Kothrud,3,1888,4,95
Law College Road,2,1300,2,90.87
Laxmi Road,2,1216,2,97.16
Mahatma Gandhi Road,3,1559,3,63
Mangalwar peth,2,1290,2,87
Manik Bagh,6,2400,6,245
Market yard,1,905,1,55
Model colony,2,1069,2,55
Mukund Nagar,2,829,2,22.8
Mundhawa,2,1900,2,200
Nagar Road,5,1276,5,140
Nana Peth,3,1300,3,60
Narayan Peth,2,1115,2,33.45
Navi Peth,3,2150,4,125
Padmavati,3,1305,2,69
Parvati Darshan,2,1252,2,56.32
Pashan,5,2400,5,250
Paud Road,2,1200,2,46.13
Pirangut,3,1750,3,130
Prabhat Road,2,545,1,35
Pune Railway Station,2,1375,2,105
Rasta Peth,2,1313,2,66.5
Sadashiv Peth,3,1693,3,108
Sahakar Nagar,2,1160,2,41.75
Sasson Road,3,1255,2,79
Satara Road,4,1000,4,75
Senapati Bapat Road,2,900,2,45
Shaniwar Peth,3,1700,3,90
Shivaji Nagar,3,1875,3,180
Shukrawar Peth,3,1700,3,88
Sinhagad Road,3,1749,3,115
Somwar Peth,2,1500,3,65
Swargate,2,1175,2,48
Tilak Road,2,1280,2,60
Uruli Devachi,2,1200,2,50
Vadgaon Budruk,3,1610,2,115
Wadgaon Sheri,2,1070,2,46
Viman Nagar,2,1200,2,66
Vishrant Wadi,2,1127,2,50
Wagholi,2,1210,2,102
Wakadewadi,2,600,2,23
Warje,2,1364,2,70
Yerawada,4,2268,3,146
Alandi Road,3,1150,2,77.5
Ambegaon Budruk,2,1146,2,39.5
Anandnagar,2,1345,2,55
Aundh,2,1110,2,41
Aundh Road,2,750,2,36
Balaji Nagar,2,1156,2,49.5
Baner,2,1247,2,59.8
Baner road,2,1058,2,60
Bhandarkar Road,2,950,2,48
Bhavani Peth,2,420,2,35
Bopodi,3,1520,2,103
Budhwar Peth,2,1215,2,58.86
Bund Garden Road,1,900,1,30
Camp,3,2350,3,174
Chandan Nagar,2,1050,2,46
Dapodi,3,1672,3,150
Dehu Road,3,1500,2,65
Dhankawadi,2,1400,2,65
Erandwane,2,920,2,37.46
Fatima Nagar,3,1200,3,70
Ganesh Peth,3,1817,4,153
Ghorpade Peth,2,1140,2,46
Gokhale Nagar,2,1464,2,56
Gultekdi,2,1468,3,130
Guruwar peth,3,1555,2,82
Hadapsar,6,1200,4,110
Hadapsar Industrial Estate,2,1150,2,55
Hingne Khurd,2,970,2,35
Jangali Maharaj Road,4,2500,4,95
Kalyani Nagar,2,1166,2,53
Karve Road,3,1350,3,58
Kasba Peth,2,900,2,46
Katraj,3,1300,2,52
Khadaki,3,1190,3,55
Khadki,3,1495,2,75
Kharadi,2,1224,2,105
Kondhwa,3,1350,2,68
Kondhwa Budruk,2,940,2,56.8
Kondhwa Khurd,2,1100,2,55
Koregaon Park,2,1300,2,61
Kothrud,3,1480,2,145
Law College Road,2,1105,2,46.37
Lulla Nagar,3,1517,3,76.3
Mangalwar peth,3,1615,3,89.75
Manik Bagh,3,1500,3,65
Market yard,3,1082,3,50.5
Model colony,2,1365,2,73
Mukund Nagar,2,1000,2,25
Mundhawa,2,1392,2,98
Nagar Road,2,1086,2,33.66
Nana Peth,3,1586,3,93.94
Narayan Peth,2,1100,2,60
Narayangaon,2,1065,2,30.75
Navi Peth,3,1500,2,120
Padmavati,3,1575,2,120
Parvati Darshan,3,1975,3,123
Pashan,2,820,2,24
Paud Road,3,1745,3,110
Pirangut,2,1223,2,60
Prabhat Road,3,1200,2,65
Pune Railway Station,2,1200,2,90
Rasta Peth,1,665,1,46.08
Raviwar Peth,2,1351,2,70
Sadashiv Peth,3,1355,3,83.87
Salunke Vihar,3,1588,3,75.55
Sasson Road,2,900,2,60
Shaniwar Peth,3,1370,2,75
Shivaji Nagar,3,1500,3,71.8
Sinhagad Road,3,1100,3,53
Somwar Peth,2,1247,2,53
Swargate,3,2000,3,200
Tilak Road,2,1020.07,2,68.38
Uruli Devachi,3,1033,2,32
Vadgaon Budruk,3,1460,2,73
Wadgaon Sheri,2,1150,2,52.8
Vishrant Wadi,2,1141,2,46
Wanowrie,3,1665,2,125
Warje,2,1295,2,64
Yerawada,2,1230,2,78
Alandi Road,3,1080,2,75
Ambegaon Budruk,2,1000,2,60
Anandnagar,3,2400,2,50
Aundh,1,630.5,1,32.79
Aundh Road,3,1708,3,75
Balaji Nagar,3,1697,3,115
Baner road,1,615,1,28.29
Bhandarkar Road,3,1350,2,83
Bhavani Peth,3,1530,2,66.4
Bibvewadi,2,1083,2,32.49
Bopodi,3,1460,2,65
Budhwar Peth,2,1084,2,58
Bund Garden Road,2,1035,2,41.43
Camp,3,2400,2,150
Chandan Nagar,1,460,1,21
Dapodi,5,950,5,90
Deccan Gymkhana,2,1285,2,55.9
Dhankawadi,3,1200,3,78
Dhayari Phata,2,1070,2,35
Dhole Patil Road,3,1801,3,140
Erandwane,3,1697,3,115
Fatima Nagar,2,1199,2,65
Fergusson College Road,3,2300,3,220
Ganesh Peth,3,1340,2,64.31
Ghorpade Peth,5,600,5,50
Ghorpadi,2,1125,2,75
Gokhale Nagar,2,1200,2,67
Gultekdi,2,1050,2,41
Guruwar peth,2,956,2,49
Hadapsar,2,1000,2,30
Hadapsar Industrial Estate,3,1596,3,95
Jangali Maharaj Road,2,1296,2,89.06
Karve Nagar,3,1639,3,123
Karve Road,2,1219,2,61.25
Kasba Peth,3,1200,3,50
Katraj,2,1218,2,73
Khadaki,2,920,2,37
Kharadi,1,525,1,26
Kondhwa,3,1427,2,48.51
Kondhwa Budruk,3,1270,3,45
Kondhwa Khurd,2,920,2,65
Law College Road,3,1355,2,40
Laxmi Road,3,1530,2,90
Lulla Nagar,3,1372,2,90
Mahatma Gandhi Road,4,2363,5,120
Manik Bagh,3,1950,3,131
Market yard,2,885,2,40
Model colony,2,600,2,27
Mukund Nagar,5,1270,4,128
Nagar Road,2,1339,2,62
Nana Peth,2,1130,2,36
Narayan Peth,2,1085,2,43
Narayangaon,3,1430,3,72
Navi Peth,4,1451.5,4,121
Parvati Darshan,3,1490,2,59.6
Pashan,4,1650,4,99
Paud Road,2,1286,2,57
Pirangut,2,925,2,63
Pune Railway Station,2,1000,2,44
Rasta Peth,2,1215,2,39
Raviwar Peth,4,1200,3,95
Sadashiv Peth,2,1336,2,100
Sahakar Nagar,1,673,1,36.85
Salunke Vihar,2,1200,2,58
Sasson Road,6,600,7,63
Satara Road,3,1600,3,160
Senapati Bapat Road,2,1200,2,79
Shivaji Nagar,3,2500,3,270
Shukrawar Peth,5,2400,5,100
Sinhagad Road,2,1143,2,65
Somwar Peth,2,1470,2,61.74
Swargate,4,1584,3,145
Tilak Road,3,1785,3,94
Vadgaon Budruk,3,1460,3,71
Wadgaon Sheri,3,1500,2,80
Wagholi,2,1230,2,48
Wakadewadi,1,650,1,20
Wanowrie,2,1480,2,120
Warje,2,1220,2,43.92
Yerawada,3,1570,3,115
Ambegaon Budruk,3,1665,3,86.91
Aundh Road,2,1100,2,68
Balaji Nagar,3,1350,2,87.01
Baner,3,1719,3,116
Baner road,1,664,1,35
Bhandarkar Road,2,1011,2,50.53
Bhavani Peth,6,2400,6,130
Bibvewadi,3,1680,3,85
Bopodi,2,717,2,49.475
Bund Garden Road,3,1520,2,150
Camp,3,1350,2,53
Chandan Nagar,3,1760,3,150
Dapodi,2,875,2,33
Deccan Gymkhana,2,1231,2,48
Dehu Road,2,1174,2,74
Dhankawadi,3,1560,3,75
Dhayari Phata,2,1464,2,56
Dhole Patil Road,3,2200,3,130
Erandwane,2,850,2,55
Fatima Nagar,3,1750,3,180
Fergusson College Road,3,2024,3,157
Ganesh Peth,2,1500,1,160
Ghorpade Peth,3,2408,4,260
Ghorpadi,2,1080,2,44
Gokhale Nagar,3,2070,3,225
Gultekdi,2,1020,2,29.46
Guruwar peth,3,1500,2,55
Hadapsar,4,1575,5,158
Hingne Khurd,2,1175,2,47
Jangali Maharaj Road,2,1030,2,34.5
Kalyani Nagar,2,1440,2,115
Karve Nagar,2,1500,2,84
Karve Road,1,1380,1,62.1
Kasba Peth,2,1200,2,50
Katraj,1,705,1,36.5
Khadaki,3,2240,5,155
Khadki,3,1584.01,3,103
Kharadi,3,1340,3,77
Kondhwa,3,1800,3,70
Kondhwa Budruk,2,1200,2,45
Kondhwa Khurd,1,685,1,40
Koregaon Park,2,925,2,42
Kothrud,2,1230,2,57
Laxmi Road,2,1125,2,52
Lulla Nagar,2,1100,2,54
Mahatma Gandhi Road,3,2400,3,149
Mangalwar peth,3,1400,2,41.58
Market yard,3,1858,3,98.3
Model colony,1,1260,1,41
Mundhawa,2,1185,2,60
Nana Peth,2,1255,2,58
Narayangaon,3,1335,3,89
Navi Peth,3,1999,3,132
Padmavati,2,1200,2,125
Parvati Darshan,3,1397,3,110
Pashan,10,1200,10,105
Pirangut,2,1200,2,130
Prabhat Road,3,1616,3,95
Raviwar Peth,2,1140,2,38.55
Sadashiv Peth,1,525,1,30
Sahakar Nagar,3,1200,2,98
Sasson Road,2,1205.47,2,81
Satara Road,3,1200,3,130
Senapati Bapat Road,3,1700,3,75
Shaniwar Peth,5,750,4,62
Shivaji Nagar,2,1090,2,54.54
Somwar Peth,1,923,1,60.84
Tilak Road,2,1050,2,48
Uruli Devachi,2,1495,2,79.5
Vadgaon Budruk,3,1664,2,93.865
Wadgaon Sheri,3,1485,3,85
Viman Nagar,3,1033,2,31.5
Vishrant Wadi,3,1400,2,48
Wakadewadi,2,944,2,35
Warje,2,1216,2,66.48
Yerawada,2,1100,2,39.5
Alandi Road,3,1743,3,93.25
Ambegaon Budruk,2,1274,2,48.42
Aundh,3,1512,2,110
Balaji Nagar,3,1650,3,100
Baner,3,1875,3,55
Baner road,3,1350,3,54
Bhandarkar Road,2,1219,2,40
Bibvewadi,3,2400,3,85
Bopodi,2,1141,2,44.4
Budhwar Peth,2,1151,2,43.1
Bund Garden Road,3,832,3,77
Camp,2,915,2,38
Dapodi,2,1115,2,65.12
Deccan Gymkhana,3,2072,4,139
Dehu Road,2,1200,2,53
Dhankawadi,2,1300,2,65
Dhayari Phata,2,1457,2,85
Dhole Patil Road,2,1262,2,55
Fatima Nagar,2,900,2,22.5
Fergusson College Road,1,420,1,17
Ganesh Peth,2,1160,2,46.39
Ganeshkhind,2,1115,2,50
Ghorpade Peth,3,1315,2,85.4
Ghorpadi,2,1500,2,57
Gokhale Nagar,2,1127,2,68
Gultekdi,3,1397,3,104
Guruwar peth,2,1173,2,60
Hadapsar,2,1090,2,28
Hingne Khurd,2,1230,2,76
Kalyani Nagar,2,858,2,31.57
Karve Nagar,3,1868,3,121
Karve Road,3,1689.28,3,91.2
Katraj,3,1425,3,49.88
Khadki,2,1350,2,100
Kondhwa,3,1310,2,85
Kondhwa Khurd,2,970,2,40
Koregaon Park,3,1397,3,108
Kothrud,2,1157,2,40
Law College Road,2,1125,2,61.2
Laxmi Road,2,1157,2,42
Lulla Nagar,2,1241,2,82
Mahatma Gandhi Road,1,660,1,62
Manik Bagh,4,2340,4,148
Market yard,1,596,1,42
Mukund Nagar,4,1200,4,110
Mundhawa,3,1910,3,190
Nagar Road,2,1139,2,80
Narayan Peth,2,1033,2,28.41
Narayangaon,2,1168,2,64.08
Navi Peth,2,877,2,42
Padmavati,2,1340,2,75
Parvati Darshan,3,1405,2,70
Pashan,3,1800,3,65
Paud Road,3,1750,3,149
Pirangut,3,1360,2,65
Pune Railway Station,2,985,2,63
Rasta Peth,2,1300,2,129
Raviwar Peth,3,1850,3,150
Sadashiv Peth,3,1490,2,88
Sahakar Nagar,2,620,1,25
Salunke Vihar,2,1130,2,42.3
Sasson Road,2,1080,2,55
Senapati Bapat Road,3,1410,2,52.17
Shaniwar Peth,3,1375,3,59
Shivaji Nagar,3,1290,2,94.5
Shukrawar Peth,3,1318,2,85.28
Sinhagad Road,2,1128,2,68
Swargate,2,1051,2,56.74
Uruli Devachi,4,2400,4,130
Vadgaon Budruk,2,1327,2,85
Viman Nagar,2,1301,2,55
Vishrant Wadi,1,650,1,30
Wagholi,3,1200,3,67.75
Wakadewadi,3,1500,2,89.99
Warje,4,1350,4,145
Yerawada,2,1000,2,28.88
Alandi Road,2,984,2,45.91
Ambegaon Budruk,3,1819.18,3,160
Aundh,3,1355,3,83.87
Baner,2,1118,2,30
Baner road,1,910,1,42
Bhandarkar Road,3,1250,3,39
Bhavani Peth,2,1304,2,100
Bibvewadi,3,1615,3,58
Bopodi,2,1400,2,68
Budhwar Peth,2,1070,2,47.5
Camp,2,1132,2,89.37
Chandan Nagar,3,2000,3,85
Deccan Gymkhana,1,794,1,65
Dehu Road,2,1090,2,43.59
Dhankawadi,3,1500,3,70
Dhayari Phata,3,2059,3,225
Dhole Patil Road,1,525,1,30
Erandwane,2,1447,2,75.97
Fatima Nagar,2,1269,2,75
Ganesh Peth,2,1070,2,37.45
Ganeshkhind,2,1150,2,28
Ghorpade Peth,2,1208,2,70
Ghorpadi,2,1185,2,45.5
Gokhale Nagar,3,1200,3,130
Gultekdi,2,888,2,34
Guruwar peth,2,1015,2,25.88
Hadapsar,1,532,1,22.49
Hadapsar Industrial Estate,3,1060,3,62
Hingne Khurd,1,700,1,35
Jangali Maharaj Road,2,902,2,42
Karve Nagar,2,1175,2,47
Karve Road,2,1365,2,122
Kasba Peth,2,984,2,51
Khadaki,3,1475,3,96
Khadki,2,1300,2,79
Kondhwa,3,1453,2,43.59
Kondhwa Budruk,2,1550,2,160
Kondhwa Khurd,3,1666,3,95
Law College Road,3,1845,3,91
Laxmi Road,3,1676,3,52
Lulla Nagar,2,1137,2,63
Mahatma Gandhi Road,3,1360,2,70.5
Mangalwar peth,3,1374,2,70
Manik Bagh,3,1700,3,155
Model colony,4,2145,4,125
Mundhawa,3,2170,3,151
Nagar Road,2,1080,2,55
Nana Peth,3,1790,3,100
Narayan Peth,1,550,1,17
Narayangaon,3,1270,2,50.79
Navi Peth,2,1033,2,48
Padmavati,2,1000,2,80
Pashan,2,1240,2,52.6
Pirangut,2,883,2,39
Prabhat Road,3,1500,2,97
Pune Railway Station,3,1730,3,139
Rasta Peth,3,1915,3,80
Raviwar Peth,3,1545,3,79
Sadashiv Peth,3,1865,4,140
Sahakar Nagar,2,1150,2,40
Salunke Vihar,2,1200,2,49
Sasson Road,2,963,2,40
Satara Road,3,1200,3,120
Shaniwar Peth,4,1700,4,108
Shivaji Nagar,3,1682,3,120
Shukrawar Peth,3,1371,2,65
Sinhagad Road,2,901,2,49.5
Swargate,3,1730,3,120
Tilak Road,4,1200,4,125
Uruli Devachi,3,1500,3,102
Viman Nagar,2,1203,2,59.86
Vishrant Wadi,2,1357,2,54
Wagholi,3,1600,3,76
Wakadewadi,1,350,1,13.5
Wanowrie,3,1665,3,53
Yerawada,1,835,1,46.95
Ambegaon Budruk,3,1444,2,80
Anandnagar,2,1277,2,55
Aundh,3,1521,3,94.71
Aundh Road,2,1134,2,40
Balaji Nagar,2,995,2,34.82
Baner road,2,1325,1,92
Bhavani Peth,3,1525,3,90
Bibvewadi,3,1320,2,73
Bopodi,1,650,1,23
Budhwar Peth,3,1858,2,167
Bund Garden Road,2,1150,2,38
Camp,2,769,2,40
Chandan Nagar,3,1571,3,105
Dapodi,3,1445,3,86.56
Deccan Gymkhana,3,1590,2,135
Dehu Road,2,902,2,49
Dhankawadi,3,2238,3,140
Dhayari Phata,2,1090,2,31.49
Dhole Patil Road,3,1712,3,82
Erandwane,2,1088,2,68
Fatima Nagar,3,1575,3,63.1
Fergusson College Road,6,2150,6,205
Ganesh Peth,3,1920,3,150
Ganeshkhind,2,1000,2,57
Ghorpade Peth,2,1100,2,56.1
Ghorpadi,2,1089,2,45
Gokhale Nagar,2,1106,2,43.09
Gultekdi,2,927,2,37
Guruwar peth,2,1339,2,58
Hadapsar,1,923,1,45.69
Hingne Khurd,2,1175,2,75
Jangali Maharaj Road,2,975,2,55
Kalyani Nagar,3,2400,4,180
Karve Nagar,3,1330,3,72
Karve Road,2,1183,2,59.74
Kasba Peth,3,1758,3,133
Khadaki,3,1255,2,77.68
Kharadi,2,1100,2,50
Kondhwa,2,1170,2,46.8
Kondhwa Budruk,5,2400,5,120
Kondhwa Khurd,3,1530,3,51.77
Koregaon Park,2,1420,2,107
Laxmi Road,3,1591,3,115
Lulla Nagar,3,1680,3,120
Mahatma Gandhi Road,2,675,3,52
Mangalwar peth,2,1055,2,57.63
Manik Bagh,3,1918,3,129
Market yard,2,1280,2,76
Model colony,3,1560,3,66
Mukund Nagar,2,1145,2,49.5
Mundhawa,3,2106,3,126
Nagar Road,3,1801,3,139
Nana Peth,5,1200,5,120
Narayangaon,3,1306,3,54.65
Navi Peth,2,1320,2,92
Padmavati,3,1350,2,65
Paud Road,3,1344,2,42
Pirangut,3,1893,3,100
Prabhat Road,3,1107,2,43
Rasta Peth,2,1190,2,75
Raviwar Peth,2,1000,2,35
Sadashiv Peth,2,2400,2,160
Sahakar Nagar,2,1000,2,48.5
Salunke Vihar,3,2113,3,155
Sasson Road,2,1100,2,46
Senapati Bapat Road,4,1884,4,120
Shaniwar Peth,2,1110,2,40
Shivaji Nagar,2,1027,2,43
Shukrawar Peth,3,1250,3,40
Sinhagad Road,3,1470,3,62
Somwar Peth,2,1150,2,75
Tilak Road,1,703,1,52
Uruli Devachi,3,1400,2,62
Vadgaon Budruk,2,1195,2,51
Wadgaon Sheri,2,1302,2,69.1
Viman Nagar,3,1583,3,74.4
Vishrant Wadi,3,1488,2,60
Wakadewadi,3,1385,2,34.63
Warje,3,1600,3,104
Yerawada,2,1150,2,90
Ambegaon Budruk,2,1263,2,78
Anandnagar,7,1200,8,110
Aundh,2,1299,2,85
Aundh Road,2,1330,2,78
Balaji Nagar,3,1282,2,52.43
Baner,3,1853,3,82
Baner road,2,861,2,35
Bhandarkar Road,3,1600,3,95
Bhavani Peth,2,1256,2,62.8
Bibvewadi,3,1390,2,80
Bopodi,3,1550,2,90
Bund Garden Road,2,919,2,49
Camp,3,1625,3,80
Chandan Nagar,2,1195,2,44
Deccan Gymkhana,2,1159,2,60
Dehu Road,3,1386,3,57.46
Dhankawadi,2,1197,2,79
Erandwane,3,1295,2,50.28
Fatima Nagar,3,1310,2,37.83
Fergusson College Road,2,1132,2,79.28
Ghorpade Peth,3,1645,3,135
Ghorpadi,2,1200,2,45.84
Gultekdi,3,1937,3,140
Guruwar peth,2,1015,2,33.5
Hadapsar,2,1080,2,39
Hadapsar Industrial Estate,3,1350,2,80.99
Hingne Khurd,3,1149,2,29
Jangali Maharaj Road,2,1185,2,59
Kalyani Nagar,3,1720,3,135
Karve Nagar,3,2080,3,175
Karve Road,3,1500,3,87
Kasba Peth,3,1566,3,97
Khadaki,4,1500,4,110
Khadki,2,1290,2,49.02
Kharadi,3,1531,3,72
Kondhwa,3,1839,3,165
Kondhwa Khurd,3,1400,2,40.43
Koregaon Park,2,550,1,15
Kothrud,2,1140,2,39
Law College Road,3,1343.5,3,57.76
Laxmi Road,4,2000,4,100
Lulla Nagar,2,1100,2,46
Mahatma Gandhi Road,2,1200,2,55
Mangalwar peth,3,1618,3,68
Market yard,3,1315,2,74
Model colony,2,1141,2,42.75
Mukund Nagar,2,1080,2,55
Mundhawa,2,1200,2,60
Nagar Road,2,1111,2,41.88
Nana Peth,2,1022,2,45.9
Narayan Peth,2,1275,2,65
Narayangaon,2,900,2,70
Navi Peth,2,1224,2,39.2
Padmavati,2,1135,2,43
Parvati Darshan,2,1050,2,52.1
Pashan,3,1535,3,86
Paud Road,2,1392,2,130
Pirangut,2,1050,2,72
Prabhat Road,3,1513,3,103
Pune Railway Station,3,1621,3,72
Rasta Peth,2,892,2,39
Raviwar Peth,2,1205,2,40
Sadashiv Peth,3,1355,3,83.87
Sasson Road,4,1200,6,70
Senapati Bapat Road,2,726,2,35
Shaniwar Peth,3,1500,3,149
Shukrawar Peth,2,1079,2,41
Sinhagad Road,2,1170,2,46
Somwar Peth,2,1104,2,39
Swargate,2,950,2,45
Uruli Devachi,3,1650,2,52
Vadgaon Budruk,3,1559,3,127
Wadgaon Sheri,2,1100,2,38
Viman Nagar,3,1750,3,150
Vishrant Wadi,2,1215,2,45.5
Wagholi,3,1868,3,135
Wakadewadi,2,1130,2,32.63
Wanowrie,3,1570,3,64.5
Warje,3,1691,3,98
Alandi Road,2,1225,2,55
Ambegaon Budruk,3,1690,3,112
Anandnagar,2,1418,2,103
Aundh,4,1896,3,125
Aundh Road,1,605,1,40
Baner,2,900,2,32.5
Baner road,1,750,2,50
Bhandarkar Road,3,780,3,62
Bhavani Peth,2,908,2,26
Budhwar Peth,5,2400,4,225
Bund Garden Road,2,1400,2,68
Camp,2,1092,2,44
Chandan Nagar,2,1255,2,74
Dapodi,3,1500,2,100
Deccan Gymkhana,2,1296,2,72
Dehu Road,2,925,2,38
Dhankawadi,2,1023,2,42
Dhole Patil Road,2,1020,2,44.5
Erandwane,3,1530,3,77
Fatima Nagar,3,1650,3,71
Fergusson College Road,3,1605,2,85
Ganesh Peth,2,1925,2,50
Ganeshkhind,2,1190,2,50.66
Ghorpade Peth,3,1374,3,68
Ghorpadi,2,1140,2,65
Gokhale Nagar,3,1725,3,130
Gultekdi,3,1075,2,50
Guruwar peth,3,1574,3,93.34
Hadapsar,1,965,1,32
Hadapsar Industrial Estate,3,1550,3,83
Hingne Khurd,2,1205,2,60
Jangali Maharaj Road,3,1082,2,55
Kalyani Nagar,3,1215,2,52.85
Karve Nagar,4,2483,5,230
Karve Road,2,1200,3,46.14
Kasba Peth,1,1500,1,19.5
Khadki,3,1452,3,60.98
Kharadi,3,1329,2,41
Kondhwa,2,1125,2,44
Kondhwa Budruk,2,1200,2,70
Kondhwa Khurd,3,1350,3,39.97
